"id_master","intervencio_ordre","llm_sentiment_cat","llm_primary_frame","llm_confidence","llm_reasoning","llm_ts"
24730,96,"Hostil_Negatiu","Constitutional_Threat",0.96,"L’extracte fa servir un llenguatge d’alarma i condemna sobre l’amnistia, l’independentisme català i la possible repetició de l’1 d’octubre, amb referències a “romper el marco constitucional” i a la desigualtat entre espanyols. El focus principal no és econòmic ni un model positiu, sinó la presentació de Catalunya/els independentistes com una amenaça a l’Estat de dret i a la unitat constitucional. Tot i que també s’ataca el PSOE, l’eix central del passatge és la ruptura constitucional més que l’ús partidista electoral.","2026-04-24 01:22:29"
24730,99,"Hostil_Negatiu","Electoral_Weaponization",0.97,"L’extracte utilitza un llenguatge molt alarmista i pejoratiu sobre les demandes vinculades a Catalunya ('prófugo', 'mordida', 'misil al Estatuto', 'desigualdad'). El focus principal no és només econòmic, sinó que presenta aquestes concessions com una ruptura de la igualtat, la Constitució i l’Estat de dret. Encara que hi ha mencions a finançament andalús, l’atac central s’articula contra Pedro Sánchez i el PSOE per pactar amb l’independentisme català per a la investidura.","2026-04-24 01:22:33"
24730,100,"Hostil_Negatiu","Electoral_Weaponization",0.97,"L’extracte presenta Catalunya i l’independentisme com una amenaça a la igualtat entre espanyols, la Constitució i l’Estat de dret, amb llenguatge fort com “disparate”, “golpe de Estado”, “oligarquía” o “prófugo”. També s’ataca el PSOE/Sánchez per pactar o cedir davant actors independentistes catalans per mantenir-se al poder. Com que l’atac inclou explícitament un partit nacional i l’ús de Catalunya serveix per desgastar un rival polític estatal, el marc principal és Electoral_Weaponization, no només Constitutional_Threat.","2026-04-24 01:22:37"
24730,137,"Hostil_Negatiu","Electoral_Weaponization",0.94,"L’extracte vincula concessions a l’independentisme català amb un perjudici potencial per als recursos d’Andalusia, i ho fa en clau d’atac al Govern d’Espanya/PSOE. El llenguatge és d’alarma però no només constitucional; el nucli és l’ús dels pactes amb independentistes per criticar un rival polític nacional. Com que hi ha menció explícita al Govern d’Espanya i als seus compromisos amb l’independentisme, encaixa millor en Electoral_Weaponization que no en Grievance_Economics o Constitutional_Threat.","2026-04-24 01:22:41"
24730,141,"Neutral_Institucional","Other",0.88,"L’extracte només esmenta Catalunya en clau històrico-institucional, indicant que l’Estatut andalús de 2007 ‘assimila al que había aprobado Cataluña’. No hi ha llenguatge pejoratiu ni Catalunya presentada com a amenaça, ni tampoc s’utilitza per atacar un partit nacional per pactes amb forces catalanes. Tampoc és una referència exemplar de bona pràctica de gestió, així que el marc adequat és residual.","2026-04-24 01:22:44"
24730,142,"Neutral_Institucional","Electoral_Weaponization",0.78,"L’extracte compara explícitament el desenvolupament autonòmic andalús amb el Parlament català (376 lleis vs 138), però la crítica principal no és contra Catalunya sinó contra PSOE i PP per haver subordinat Andalusia i haver-la usat com a ariet polític. La menció a Catalunya apareix dins d’un atac a partits estatals i al debat d’investidura, no com a amenaça constitucional ni com a model positiu. Per això el marc dominant és d’instrumentalització electoral, amb un to cap a Catalunya més aviat descriptiu i no hostil.","2026-04-24 01:22:49"
24730,144,"Hostil_Negatiu","Constitutional_Threat",0.88,"L’extracte usa un llenguatge clarament alarmista i deslegitimador sobre Catalunya, associant-la a qui 'quiere romper España' i advertint contra derivar cap a un 'España nos roba'. El focus principal no és una simple queixa econòmica comparada, sinó la idea que les demandes basques i catalanes trenquen la igualtat i la unitat d’Espanya. Tot i que també ataca Sánchez i PSOE, el nucli discursiu és la amenaza territorial-constitucional més que la pura arma electoral.","2026-04-24 01:22:53"
24730,145,"Hostil_Negatiu","Electoral_Weaponization",0.92,"L’extracte utilitza un to clarament acusatori i alarmista, amb expressions com “amnistía”, “condonación de deuda”, “tratamiento preferente a Cataluña” i “referéndum” per denunciar privilegis i manipulació política. El focus principal no és només econòmic ni només institucional, sinó l’ús d’aquestes concessions a Catalunya per atacar el PSOE i Pedro Sánchez en la política nacional. Com que hi ha un partit nacional explícitament assenyalat, encaixa millor en Electoral_Weaponization que no pas en Grievance_Economics.","2026-04-24 01:22:57"
24730,153,"Empàtic_Positiu","Positive_Reference",0.89,"La menció a Catalunya és breu i comparativa: s’afirma que la implementació del tractament de l’obesitat \"sí se ha hecho en Galicia y si se ha hecho Cataluña\", sense cap llenguatge pejoratiu ni conflicte institucional. No hi ha amenaça constitucional ni atac a un partit nacional per pactes amb catalans. Com que Catalunya es presenta com a exemple de política ja aplicada amb èxit rellevant per a Andalusia, encaixa millor com a referència positiva.","2026-04-24 01:23:01"
24730,158,"Hostil_Negatiu","Constitutional_Threat",0.95,"L’extracte usa un llenguatge clarament desqualificador cap a l’independentisme català i Puigdemont, amb termes com «prófugo de la justicia», «chantaje político» i referències d’alarma sobre amnistia i desigualtat. El nucli del discurs presenta Catalunya/independentisme com una amenaça a la Constitució, la igualtat entre espanyols i l’Estat de dret. Tot i que també hi ha greuge econòmic per a Andalusia, el marc dominant és constitucional i no merament econòmic.","2026-04-24 01:23:06"
24730,159,"Empàtic_Positiu","Other",0.87,"L’extracte expressa suport explícit al dret a decidir del poble català i defensa l’amnistia per als encausats del procés i altres mobilitzacions, amb un to solidari cap a Catalunya. Tot i que critica PP, PSOE i altres actors estatals, la menció a Catalunya no s’utilitza principalment per atacar un partit nacional per pactes, sinó per reivindicar drets democràtics. No hi ha comparació econòmica amb Andalusia ni presentació de Catalunya com a model de gestió.","2026-04-24 01:24:59"
24730,160,"Empàtic_Positiu","Positive_Reference",0.87,"L’extracte rebutja el marc que presenta Catalunya com una amenaça i defensa el diàleg i la desjudicialització, destacant fins i tot resultats positius a Catalunya com la caiguda de l’independentisme. No hi ha comparació econòmica directa amb Andalusia ni ús de Catalunya per atacar un partit nacional en clau anti-catalana; l’atac principal és al PP per la seva instrumentalització del tema. Com que Catalunya apareix associada a estabilització i a una via política preferible a la repressió, el to és clarament empàtic/positiu i el frame principal és de referència positiva.","2026-04-24 01:25:03"
24730,161,"Hostil_Negatiu","Constitutional_Threat",0.97,"L’extracte descriu Catalunya i l’independentisme com una amenaça greu per a la unitat nacional, la democràcia i l’Estat de dret, amb termes clarament alarmistes com “golpistas”, “terroristas” i “traidores”. Encara que també ataca el PSOE i Sánchez, el nucli del passatge sobre Catalunya se centra en la llei d’amnistia, l’independentisme i el risc per a Espanya, no en una arma electoral partidista principal. No hi ha comparació econòmica amb Andalusia ni cap referència positiva o merament institucional.","2026-04-24 01:25:08"
24730,162,"Neutral_Institucional","Electoral_Weaponization",0.9,"L’extracte no ataca Catalunya ni l’independentisme, sinó que critica el PP per usar el relat de 'España se rompe' i recorda pactes previs del PP amb nacionalistes catalans. La menció a Catalunya apareix dins d’un atac a un partit nacional rival, no com a amenaça constitucional ni com a greuge econòmic amb Andalusia. Tampoc presenta Catalunya com a model positiu concret.","2026-04-24 01:25:11"
24730,163,"Hostil_Negatiu","Constitutional_Threat",0.94,"L’extracte presenta Catalunya i els partits independentistes com una amenaça a la igualtat, a la Constitució i a l’Estat de Dret, amb termes com “separatistas”, “fuera de la Constitución” i “privilegios”. Tot i que hi ha mencions a concessions econòmiques, el nucli argumental no és només fiscal sinó la ruptura de la igualtat entre espanyols i la legalitat constitucional. També s’ataca Pedro Sánchez, però l’eix principal és la denúncia de l’amnistia i dels pactes com a amenaça constitucional, més que només arma electoral partidista.","2026-04-24 01:25:16"
24768,34,"Neutral_Institucional","Other",0.95,"La menció a Catalunya és breu i instrumental: 'Andalucía no se rompe por Cataluña' s’utilitza per reorientar la crítica cap a la gestió sanitària del govern andalús. No hi ha llenguatge pejoratiu contra Catalunya ni tampoc una apel·lació a la unitat d’Espanya o a partits nacionals en relació amb actors catalans. Per les regles d’exclusió, no encaixa en Constitutional_Threat ni en Electoral_Weaponization; és una menció accessòria.","2026-04-24 01:25:20"
24768,38,"Hostil_Negatiu","Grievance_Economics",0.91,"L’extracte menciona Catalunya en clau comparativa de finançament: s’afirma que un català rep més recursos que un andalús i que això perjudica Andalusia. No hi ha un atac central a la unitat d’Espanya ni un ús principal per atacar un partit nacional per pactes amb catalans; el nucli és el greuge econòmic comparat amb Andalusia. El llenguatge és crític i acusatori (‘mienten’, ‘va a perjudicar a esta tierra’), però no especialment insultant cap a Catalunya; tot i així, la menció té càrrega negativa clara.","2026-04-24 01:25:25"
24768,44,"Neutral_Institucional","Other",0.94,"L’extracte només esmenta Catalunya com a comparació estadística de ràtios de psiquiatres, sense llenguatge pejoratiu ni atribució d’amenaça política. Tampoc no hi ha comparació econòmica amb greuge andalús per concessions a Catalunya, ni ús electoral contra un partit nacional per pactes amb partits catalans. La referència a Catalunya és descriptiva i funcional dins d’un debat sanitari, així que encaixa millor com a menció institucional sense frame específic.","2026-04-24 01:25:29"
24768,47,"Hostil_Negatiu","Other",0.7,"L’extracte tracta gairebé exclusivament de salut mental a Andalusia i inclou només una menció tangencial als 'independentistas' en el context del finançament i de la negociació política estatal. Aquesta menció té to crític, però no articula Catalunya com a amenaça constitucional central ni com a comparació econòmica directa amb Andalusia prou desenvolupada. Com que la referència a Catalunya és indirecta i accessòria, el marc principal és 'Other' i el sentiment cap a Catalunya/institucions catalanes és hostil pel terme despectiu associat a l’independentisme.","2026-04-24 01:25:33"
24769,7,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte presenta un llenguatge clarament alarmista i pejoratiu sobre l’amnistia, els 'golpistas', l’independentisme català i els seus suposats privilegis. A més, vincula explícitament aquests pactes amb el PSOE/Gobierno central per atacar un rival polític nacional, no només actors catalans. Tot i que hi ha una comparació amb Andalusia i la igualtat, el nucli principal és l’ús electoral dels pactes amb l’independentisme per desacreditar el govern central.","2026-04-24 01:25:38"
24769,10,"Neutral_Institucional","Other",0.95,"La menció a Catalunya és incidental i apareix dins d’una llista de temes amb què, segons l’oradora, la consellera desvia l’atenció del problema sanitari andalús. No hi ha llenguatge pejoratiu dirigit a Catalunya ni cap amenaça constitucional, comparació econòmica amb Andalusia o ús de pactes amb partits catalans per atacar un partit estatal. Per tant, la referència és descriptiva i no activa cap frame específic del codebook.","2026-04-24 01:25:42"
24769,11,"Neutral_Institucional","Other",0.94,"La menció a Catalunya és tangencial i descriptiva: s’esmenta el president del Col·legi de Metges de Catalunya per afirmar que hi ha manca de metges a tot Espanya. No hi ha llenguatge pejoratiu contra Catalunya ni tampoc es presenta com a amenaça constitucional, greuge econòmic comparat amb Andalusia, arma electoral contra un partit nacional o model positiu de gestió. Per tant, el sentiment és neutral i el frame cau a Other.","2026-04-24 01:25:46"
24769,69,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte utilitza un llenguatge clarament despectiu contra l’independentisme i associa les negociacions de Sánchez amb partits catalans a un perjudici per a Andalusia. Hi ha comparació directa de recursos entre Catalunya i Andalusia, però el centre de l’atac és l’ús dels pactes amb independentistes per desacreditar el PSOE/Sánchez. Segons la regla d’exclusió, això encaixa millor amb Electoral_Weaponization perquè l’atac inclou explícitament un partit nacional.","2026-04-24 01:25:51"
24769,70,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte presenta Catalunya i els independentistes com a beneficiaris d’un tracte econòmic injust que perjudica directament Andalusia, amb comparacions explícites de finançament i inversió. També hi ha llenguatge hostil ('chantaje', 'independentistas') i un atac al govern central per pactar amb ERC per mantenir-se a la Moncloa. Com que la crítica inclou un partit nacional/govern central i l’ús polític dels pactes amb actors catalans, el frame principal és Electoral_Weaponization, no només econòmic.","2026-04-24 01:25:56"
24769,114,"Hostil_Negatiu","Electoral_Weaponization",0.94,"L’extracte vincula les negociacions de Sánchez amb dirigents independentistes catalans a un possible acord bilateral que perjudicaria Andalusia, amb llenguatge clarament adversatiu ('inhabilitado', 'nos van a excluir', 'la factura la vamos a pagar los andaluces'). No és només una queixa econòmica, sinó un atac a un partit nacional i a la investidura amb suport català. Per la regla d’exclusió, això encaixa millor en Electoral_Weaponization que no pas en Grievance_Economics o Constitutional_Threat.","2026-04-24 01:26:01"
24769,118,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte vincula els pactes i negociacions amb líders independentistes catalans a un atac contra el PSOE/Sánchez, presentant-los com a moneda política per a la investidura. També hi ha una comparació econòmica amb Andalusia (‘cuánto vamos a perder los andaluces’), però el centre del missatge és l’ús del pacte amb l’independentisme per desacreditar un rival nacional. El llenguatge és clarament alarmista i deslegitimador (‘independentismo’, ‘sacar tajada’, ‘cheque’).","2026-04-24 01:26:04"
24769,122,"Hostil_Negatiu","Electoral_Weaponization",0.93,"L’extracte vincula les negociacions de Sánchez amb partits independentistes a un \"agravio comparativo\" contra Andalusia, presentant Catalunya/independentisme com a beneficiaris de recursos en perjudici andalús. Hi ha comparació econòmica directa amb Andalusia, però l’atac central s’articula contra un partit nacional i el seu president, cosa que activa Electoral_Weaponization segons la regla d’exclusió. El llenguatge és clarament d’alarma i confrontació, amb expressions com \"moneda de cambio\", \"enorme desigualdad\" i referències als \"partidos independentistas\".","2026-04-24 01:26:09"
24769,175,"Hostil_Negatiu","Electoral_Weaponization",0.78,"L’extracte només menciona Catalunya de manera indirecta a través de ‘diputadas independentistas’ i una ‘amnistía’, dins d’un discurs d’alarma sobre ruptura de la convivència i pactes polítics. No hi ha comparació econòmica amb Andalusia ni una referència positiva de model. Com que la menció serveix per atacar acords polítics vinculats a actors nacionals i els presenta com una amenaça, predomina l’ús partidista electoral.","2026-04-24 01:26:14"
24769,187,"Hostil_Negatiu","Electoral_Weaponization",0.94,"L’extracte associa els pactes del govern espanyol amb independentistes catalans a un “chantaje” i a un cost per a Andalusia, amb llenguatge clarament pejoratiu. El focus principal no és només Catalunya com a amenaça constitucional abstracta, sinó l’ús dels pactes amb actors catalans per atacar Pedro Sánchez i el PSOE a escala estatal. Tot i que hi ha una dimensió econòmica, no predomina una comparació directa i sostinguda de greuge econòmic amb Catalunya com a marc principal.","2026-04-24 01:26:19"
24769,189,"Neutral_Institucional","Electoral_Weaponization",0.77,"L’extracte només esmenta Catalunya al final, en una crítica al mantra del PP sobre 'España se rompe' vinculada al debat polític de Madrid i Catalunya. No hi ha cap comparació econòmica amb Andalusia per concessions a Catalunya, així que s’exclou Grievance_Economics. Com que la menció serveix sobretot per atacar un partit nacional (PP) en clau de disputa política, el marc principal és Electoral_Weaponization.","2026-04-24 01:26:23"
24804,18,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte contraposa explícitament Andalusia amb Catalunya i el País Basc, afirmant que uns “van a ganar” i els andalusos “van a perder” per acords polítics de Sánchez. La menció a Catalunya no és només econòmica abstracta, sinó vinculada a pactes amb un partit nacional rival (“señor Sánchez”, coalició), cosa que activa l’ús electoral del tema català. El to és de greuge i alarma, però no centra l’argument en la unitat d’Espanya o l’ordre constitucional.","2026-04-24 01:26:28"
24804,23,"Neutral_Institucional","Other",0.8,"L’extracte menciona «lo vasco y de los catalanes» de manera tangencial i sense llenguatge pejoratiu específic contra Catalunya ni les seves institucions. El focus és l’atac al PP, al PSOE i a la situació social d’Andalusia, no una amenaça constitucional ni una comparació econòmica directa amb Catalunya. Tampoc es presenta Catalunya com a model positiu ni com a actor clau d’un pacte concret per atacar un partit nacional.","2026-04-24 01:26:32"
24804,24,"Hostil_Negatiu","Electoral_Weaponization",0.9,"L’extracte menciona Catalunya a través d’\"un posible acuerdo con los independentistas\" i una possible \"Amnistía\" vinculada a l’1 d’octubre, presentant-ho com un motiu de preocupació per Espanya. El to és clarament d’alarma política, per tant el sentiment és hostil. Com que l’atac se centra en un possible pacte d’un govern/actor nacional amb independentistes catalans per desacreditar l’adversari, encaixa millor amb Electoral_Weaponization que no amb un marc purament constitucional.","2026-04-24 01:26:36"
24804,26,"Hostil_Negatiu","Constitutional_Threat",0.88,"L’extracte presenta Catalunya a través dels 'pactos con independentistas', l’amnistia i el referèndum com una ruptura de la igualtat entre espanyols. No hi ha comparació econòmica amb Andalusia, així que s’exclou Grievance_Economics. Tampoc és principalment un atac electoral a un partit nacional concret per aquests pactes, sinó una denúncia del seu impacte sobre la unitat i la igualtat, de manera que predomina Constitutional_Threat.","2026-04-24 01:26:40"
24804,30,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte associa els \"independentistas\" amb voler \"romper la igualdad entre andaluces y catalanes\", un llenguatge clarament adversarial i d’amenaça política. La menció a Catalunya no és econòmica ni com a model positiu, sinó vinculada a la ruptura de la igualtat i al pacte de Sánchez amb aquests actors. Com que també s’utilitza per atacar un partit/govern nacional (\"la política del señor Sánchez\"), el marc principal és d’instrumentalització electoral més que no només constitucional.","2026-04-24 01:26:44"
24804,36,"Hostil_Negatiu","Constitutional_Threat",0.96,"L’extracte associa explícitament Catalunya i l’independentisme amb la ruptura d’Espanya, el referèndum d’autodeterminació i la vulneració de la igualtat entre espanyols, amb un llenguatge d’alarma clar. Tot i que apareix la idea de desigualtat per a Andalusia, el nucli no és una concessió econòmica comparativa concreta sinó una amenaça a la unitat constitucional. També hi ha atac a Pedro Sánchez per la seva dependència dels partits independentistes, però el marc predominant és la defensa de la unitat d’Espanya i de l’Estat de dret.","2026-04-24 01:26:49"
24804,37,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte combina comparacions econòmiques amb Catalunya, però el nucli de l’atac se centra en el pacte del PSOE i Sumar amb independentistes i nacionalistes catalans per perjudicar Andalusia. Hi ha llenguatge clarament alarmista sobre amnistia, desigualtat entre espanyols i ruptura del marc constitucional, però sempre lligat a retreure-ho a partits nacionals, fet que activa Electoral_Weaponization segons la regla d’exclusió. El to envers Catalunya i els actors catalans és marcadament negatiu, amb expressions com \"independentistas y nacionalistas que solo se miran el ombligo\".","2026-04-24 01:26:54"
24804,44,"Hostil_Negatiu","Electoral_Weaponization",0.93,"La menció a Catalunya apareix al final vinculada a 'socios' que afavoreixen 'ese independentismo', 'esa ruptura del Estado de Derecho' i 'la desigualdad territorial entre españoles'. Això activa un llenguatge clarament alarmista i de confrontació, per tant el sentiment és hostil. Com que l’atac s’adreça sobretot al Gobierno de Pedro Sánchez per la seva relació amb aquests actors catalans, el marc principal és d’instrumentalització electoral, no merament constitucional ni econòmic.","2026-04-24 01:26:58"
24804,50,"Hostil_Negatiu","Electoral_Weaponization",0.95,"La menció a Catalunya apareix en la crítica a 'la Amnistía a los golpistas del 1 de octubre' i s’utilitza per atacar Pedro Sánchez i el seu govern per mantenir-se 'en el sillón de la Moncloa'. Hi ha llenguatge pejoratiu ('golpistas') i l’objectiu principal no és una discussió jurídica abstracta sinó la instrumentalització del pacte/amnistia catalana contra un partit nacional. Per tant, s’exclou Grievance_Economics i predomina Electoral_Weaponization sobre Constitutional_Threat.","2026-04-24 01:27:02"
24809,3,"Neutral_Institucional","Other",0.93,"La menció a Catalunya és incidental i apareix en una llista d’excuses o distraccions polítiques (‘Sánchez, Cataluña’), sense desenvolupament substantiu sobre Catalunya ni sobre institucions catalanes. No hi ha llenguatge valoratiu clar dirigit a Catalunya, ni comparació econòmica amb Andalusia, ni amenaça constitucional, ni ús explícit de pactes amb partits catalans contra un partit nacional. Per tant, correspon una classificació neutral i fora dels marcs principals.","2026-04-24 01:27:06"
24809,13,"Hostil_Negatiu","Grievance_Economics",0.95,"L’extracte acusa el govern espanyol de donar més diners a Catalunya que a Andalusia (‘140 euros más por habitante’) i presenta això com un greuge per als andalusos. No se centra en una amenaça constitucional, sinó en una comparació de finançament directa amb Andalusia. El to és crític però sobretot de greuge econòmic, sense insults directes cap a Catalunya més enllà de denunciar un tracte preferent.","2026-04-24 01:27:11"
24809,122,"Neutral_Institucional","Other",0.84,"La menció a Catalunya és una comparació estadística puntual: 'Hemos superado por primera vez a Cataluña en el superávit comercial interior'. No hi ha llenguatge pejoratiu ni cap amenaça constitucional, ni tampoc una queixa sobre privilegis econòmics concedits a Catalunya en perjudici d'Andalusia. Com que la referència és competitiva però descriptiva i no encaixa en cap frame específic del codebook, correspon a una classificació neutral amb frame residual.","2026-04-24 01:27:14"
24809,134,"Hostil_Negatiu","Constitutional_Threat",0.82,"La menció a Catalunya és breu però normativa i crítica: 'algo que alguno ahora por desgracia se olvidan en Cataluña y en Madrid' vinculada al respecte a la Constitució, les lleis i el pluralisme. No hi ha comparació econòmica amb Andalusia ni ús clar contra un partit nacional concret, així que s’exclouen Grievance_Economics i Electoral_Weaponization. La idea central associa Catalunya amb l’oblit dels límits constitucionals, encaixant amb Constitutional_Threat.","2026-04-24 01:27:19"
24809,153,"Neutral_Institucional","Grievance_Economics",0.88,"L’extracte presenta Catalunya sobretot com a terme de comparació per denunciar el greuge ferroviari que pateix Andalusia: s’afirma que si el mateix passés a Catalunya hi hauria més reacció institucional. No hi ha llenguatge pejoratiu contra Catalunya ni contra les seves institucions, sinó una referència instrumental dins d’una crítica a l’Estat i als partits estatals. Com que hi ha comparació explícita amb Andalusia sobre infraestructures i tracte desigual, el marc encaixa millor amb greuge econòmic/territorial i no amb amenaça constitucional ni model positiu.","2026-04-24 01:27:24"
24809,156,"Neutral_Institucional","Other",0.93,"La menció a Catalunya és tangencial, apareix només dins una llista de comunitats autònomes que opten pel diàleg i l'acord amb el Govern d'Espanya. No hi ha llenguatge pejoratiu ni cap amenaça constitucional, tampoc comparació econòmica amb Andalusia ni ús de Catalunya per atacar un partit nacional en clau de pactes. Per tant, el to és descriptiu i lleument favorable al diàleg, però sense presentar Catalunya com a model concret de gestió.","2026-04-24 01:27:28"
24809,161,"Neutral_Institucional","Other",0.9,"L’extracte només menciona Catalunya en referència a l’“informe PISA” i a una presumpta persecució política, però el focus real és la crítica al PP, Fernández Díaz i la regulació de la IA. No hi ha valoració explícita sobre Catalunya com a actor col·lectiu ni comparació econòmica amb Andalusia, ni tampoc una amenaça constitucional atribuïda a Catalunya. Com que la menció catalana és tangencial i no activa cap frame específic del codebook, correspon classificar-ho com a neutral i Other.","2026-04-24 01:27:32"
24917,8,"Neutral_Institucional","Other",0.97,"La menció a Catalunya és incidental i descriptiva: s’assenyala una excepció regulatòria ('amb l’excepció de Catalunya i País Basc') dins d’una explicació tècnica sobre la LOSU i l’adaptació normativa andalusa. No hi ha llenguatge pejoratiu ni cap comparació de greuge amb Andalusia, tampoc una amenaça constitucional ni ús partidista contra un partit nacional. Per tant, el to és institucional i el frame no encaixa en les categories substantives excepte 'Other'.","2026-04-24 01:27:37"
24917,12,"Hostil_Negatiu","Electoral_Weaponization",0.97,"El fragment critica durament un partit nacional i el govern espanyol per pactar amb independentistes catalans, vinculant-ho a mantenir Sánchez al poder. La menció a Catalunya apareix en termes d'alarma i greuge econòmic, però el marc dominant no és només financer perquè s'utilitza sobretot per atacar el PSOE per aquests pactes. Seguint les regles d’exclusió, això encaixa millor amb Electoral_Weaponization que amb Grievance_Economics o Constitutional_Threat.","2026-04-24 01:27:41"
24917,18,"Hostil_Negatiu","Electoral_Weaponization",0.93,"L’extracte combina un atac molt dur contra Pedro Sánchez i aliats nacionals amb referències a ERC i als pactes amb Catalunya com a moneda de canvi per governar, cosa que encaixa amb l’ús electoral-partidista. Tot i que també hi ha llenguatge de forta alarma constitucional, el focus principal és retreure al PSOE/Sumar haver pactat amb forces catalanes per mantenir el poder. A més, hi ha comparacions econòmiques amb Andalusia, però subordinades a l’atac al rival nacional.","2026-04-24 01:27:45"
24917,19,"Neutral_Institucional","Other",0.91,"La menció a Catalunya apareix com a retret procedimental: es critica que altres portaveus desviïn el debat parlant de 'Cataluña y el País Vasco' en lloc de la moció sobre persones grans. No hi ha llenguatge hostil cap a Catalunya ni es presenta com a amenaça constitucional, tampoc hi ha comparació econòmica amb Andalusia ni ús clar per atacar un partit nacional pel seu pacte amb partits catalans. Per tant, la referència és accessòria i fora dels marcs principals.","2026-04-24 01:27:49"
